LTKBID,compound_name,SeverityClass,LabelSection,vDILI-Concern,vDILI_Concern_Normalized,Comment,smiles,binary_label
LT00040,Abacavir sulfate,8,Warnings & precautions,vMOST-DILI-concern,vMost-DILI-concern,Unchanged,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1.Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1.O=S(=O)(O)O,1
LT03618,Abaloparatide,0,No match,vNo-DILI-concern,vNo-DILI-concern,New,CCC(C)C(NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)CNC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(C)N)C(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(C(=O)NC(C)C(N)=O)C(C)O,0
LT03619,Abemaciclib,3,Warnings & precautions,vLess-DILI-concern,vLess-DILI-concern,New,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,1
LT02339,Abiraterone acetate,8,Warnings & precautions,vMost-DILI-concern,vMost-DILI-concern,New,CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(c4cccnc4)=CCC32)C1,1
LT01141,Acamprosate calcium,3,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],1
LT01034,Acarbose,8,Warnings & precautions,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CC1OC(OC2C(CO)OC(OC(C(O)CO)C(O)C(O)C=O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,1
LT01035,Acebutolol hydrochloride,3,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1.Cl,1
LT01853,Aceclofenac,0,No match,vLess-DILI-concern,vLess-DILI-concern,Unchanged,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,1
LT00004,Acetaminophen,5,Warnings & precautions,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CC(=O)Nc1ccc(O)cc1,1
LT00498,Acetazolamide,8,Warnings & precautions,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CC(=O)Nc1nnc(S(N)(=O)=O)s1,1
LT02096,Acetylcholine chloride,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CC(=O)OCC[N+](C)(C)C.[Cl-],0
LT01041,Acetylcysteine,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CC(=O)NC(CS)C(=O)O,0
